timestamp,open,high,low,close,volume
2020-07-27,321.625,323.39,320.82,323.26,643336.0
2020-07-28,322.57,323.635,320.85,321.24,518391.0
2020-07-29,322.12,325.705,322.12,325.16,592748.0
2020-07-30,321.71,324.385,319.64,323.96,600024.0
2020-07-31,325.9,326.6,321.34,326.54,1119901.0
2020-08-03,328.35,329.615,327.745,328.76,572342.0
2020-08-04,328.15,330.0,327.96,330.0,650132.0
2020-08-05,331.43,332.38,331.19,332.08,501009.0
2020-08-06,331.46,334.46,331.17,334.28,634044.0
2020-08-07,333.26,334.69,332.31,334.6,604928.0
2020-08-10,335.055,335.765,332.99,335.52,499443.0
2020-08-11,336.95,337.53,332.05,332.92,762512.0
2020-08-12,335.45,338.26,335.45,337.42,738063.0
2020-08-13,336.66,338.2,335.91,336.88,492150.0
2020-08-14,336.46,337.39,335.74,336.86,393953.0
2020-08-17,337.945,338.335,337.515,337.86,373217.0
2020-08-18,338.35,339.08,336.67,338.63,607885.0
2020-08-19,339.045,339.61,336.66,337.28,950657.0
2020-08-20,335.39,338.78,335.22,338.22,545600.0
2020-08-21,337.92,339.72,337.57,339.44,547458.0
2020-08-24,342.13,342.97,341.1,342.97,549955.0
2020-08-25,343.545,344.18,342.305,344.12,595444.0
2020-08-26,344.74,347.84,344.17,347.61,529800.0
2020-08-27,348.535,349.86,346.57,348.32,823065.0
2020-08-28,349.44,350.71,348.235,350.54,535715.0
2020-08-31,350.35,351.28,349.125,349.34,742153.0
2020-09-01,350.205,352.66,349.27,352.59,837033.0
2020-09-02,354.67,358.69,353.46,357.71,885990.0
2020-09-03,355.89,356.37,342.61,345.42,2042794.0
2020-09-04,345.8,347.76,334.9,342.61,1233705.0
2020-09-08,336.67,338.0,332.89,333.26,953213.0
2020-09-09,337.61,342.44,336.67,339.9,708051.0
2020-09-10,341.83,342.48,332.89,334.0,865708.0
2020-09-11,335.8,336.88,331.01,334.02,871800.0
2020-09-14,337.56,340.3,336.99,338.42,532763.0
2020-09-15,341.28,341.99,339.02,340.15,477393.0
2020-09-16,341.6,343.05,338.58,338.81,775082.0
2020-09-17,333.57,337.655,333.0,335.87,924865.0
2020-09-18,335.38,335.49,327.975,330.55,1205819.0
2020-09-21,325.68,327.09,321.75,327.0,1162195.0
2020-09-22,328.55,330.9,325.96,330.27,543285.0
2020-09-23,330.905,331.17,322.12,322.67,763072.0
2020-09-24,321.21,326.77,319.82,323.53,965696.0
2020-09-25,322.69,329.55,321.69,328.73,738862.0
2020-09-28,333.23,334.94,332.16,334.16,673997.0
2020-09-29,333.97,334.735,331.695,332.45,552894.0
2020-09-30,333.235,338.26,332.95,334.9,1371855.0
2020-10-01,337.655,338.74,335.04,337.08,723977.0
2020-10-02,331.58,335.885,331.21,333.82,950293.0
2020-10-05,336.07,339.95,336.07,339.72,418855.0
2020-10-06,339.91,342.155,334.42,334.92,858361.0
2020-10-07,338.12,341.63,338.1,340.72,387470.0
2020-10-08,342.89,343.83,341.86,343.74,371316.0
2020-10-09,345.545,347.345,344.905,346.84,437305.0
2020-10-12,349.6,354.01,349.18,352.37,489371.0
2020-10-13,352.35,352.35,349.1,350.18,552865.0
2020-10-14,350.74,351.91,347.14,347.88,381245.0
2020-10-15,343.71,347.98,343.15,347.46,460323.0
2020-10-16,349.03,350.675,347.19,347.32,644048.0
2020-10-19,348.79,349.29,341.105,341.96,674109.0
2020-10-20,343.42,346.87,342.72,343.38,603254.0
2020-10-21,343.33,345.61,342.41,342.72,628271.0
2020-10-22,342.97,345.2,340.67,344.635,519473.0
2020-10-23,345.91,345.97,343.21,345.65,422484.0
2020-10-26,342.12,342.98,335.66,339.45,1001782.0
2020-10-27,339.755,340.07,338.03,338.26,606695.0
2020-10-28,332.1,332.835,326.14,326.7,1438749.0
2020-10-29,326.91,333.35,325.11,329.95,1094827.0
2020-10-30,328.25,329.64,322.635,326.78,1286734.0
2020-11-02,330.2,332.3,327.25,330.22,792781.0
2020-11-03,333.695,338.24,333.25,335.97,905467.0
2020-11-04,340.86,347.905,339.62,343.46,1931984.0
2020-11-05,349.275,352.17,348.9,350.33,1138120.0
2020-11-06,349.92,351.45,347.74,350.16,592593.0
2020-11-09,363.97,364.315,354.08,354.55,883386.0
2020-11-10,353.52,355.08,350.595,354.1,685907.0
2020-11-11,356.39,357.53,355.09,356.69,554419.0
2020-11-12,355.57,356.345,351.29,353.22,765730.0
2020-11-13,355.27,358.88,354.745,357.94,725942.0
2020-11-16,361.1,362.46,359.63,362.43,759992.0
2020-11-17,359.985,361.875,358.375,360.67,816329.0
2020-11-18,360.98,361.5,356.25,356.25,1010432.0
2020-11-19,355.51,358.16,354.33,357.85,951516.0
2020-11-20,357.48,357.68,355.28,355.38,836261.0
2020-11-23,357.27,358.69,354.9,357.51,717521.0
2020-11-24,360.26,363.76,359.31,363.2,1300876.0
2020-11-25,363.13,363.16,361.51,362.63,607995.0
2020-11-27,363.96,364.165,362.59,363.59,305288.0
2020-11-30,362.8,362.965,359.2,362.32,1010467.0
2020-12-01,365.56,367.645,364.98,365.96,832792.0
2020-12-02,364.82,366.92,364.23,366.7,409956.0
2020-12-03,366.69,368.165,365.51,366.7,573266.0
2020-12-04,367.31,369.82,367.22,369.82,501510.0
2020-12-07,369.035,369.61,367.73,369.04,705702.0
2020-12-08,367.69,370.76,367.68,370.12,686744.0
2020-12-09,370.89,371.02,365.96,367.0,1103945.0
2020-12-10,365.375,367.8,364.45,366.67,912079.0
2020-12-11,364.96,366.58,363.29,366.23,621380.0
2020-12-14,368.61,369.76,364.52,364.68,832763.0
2020-12-15,367.44,369.57,365.92,369.57,845626.0
2020-12-16,369.84,371.14,368.92,370.1,561075.0
2020-12-17,371.95,372.43,371.055,372.18,797087.0
2020-12-18,370.99,371.145,367.055,369.11,1364007.0
2020-12-21,364.97,368.73,362.1,367.86,773129.0
2020-12-22,368.2,368.325,366.115,367.1,966368.0
2020-12-23,368.27,369.6,367.41,367.58,479664.0
2020-12-24,368.09,369.02,367.47,368.88,169265.0
2020-12-28,371.77,372.575,371.11,372.13,294151.0
2020-12-29,373.77,373.99,370.87,371.46,713662.0
2020-12-30,372.34,373.08,371.6,371.99,398319.0
2020-12-31,371.8,374.64,371.25,373.85,1040467.0
2021-01-04,375.3,375.43,364.87,368.86,1293549.0
2021-01-05,368.27,372.435,368.25,371.36,650548.0
2021-01-06,369.52,376.96,369.19,373.64,1550580.0
2021-01-07,376.13,379.87,375.92,378.96,899440.0
2021-01-08,380.58,381.45,377.11,381.24,578072.0
2021-01-11,377.87,380.54,377.73,378.83,568571.0
2021-01-12,378.9,379.84,376.4,378.74,569506.0
2021-01-13,378.7,380.855,377.87,379.79,505447.0
2021-01-14,380.68,381.12,378.105,378.52,477060.0
2021-01-15,376.72,377.57,373.785,375.66,842626.0
2021-01-19,378.35,379.225,376.845,378.6,563209.0
2021-01-20,381.105,384.79,380.74,383.84,594273.0
2021-01-21,384.48,384.94,383.25,384.17,404630.0
2021-01-22,382.25,384.06,381.89,382.81,623345.0
2021-01-25,383.67,384.76,378.46,384.41,730778.0
2021-01-26,385.405,385.81,383.56,383.73,595105.0
2021-01-27,380.23,380.25,372.04,374.4,2583717.0
2021-01-28,376.35,381.91,376.12,377.49,1753276.0
2021-01-29,375.6,376.59,368.38,370.01,2518205.0
2021-02-01,373.81,377.34,371.48,376.19,955120.0
2021-02-02,379.64,383.165,379.625,381.39,1063323.0
2021-02-03,382.49,383.68,380.5,381.86,811045.0
