timestamp,open,high,low,close,volume
2020-07-27,135.85,137.36,135.25,137.28,284442.0
2020-07-28,137.02,137.64,135.84,135.93,128998.0
2020-07-29,136.72,138.97,136.72,138.86,170668.0
2020-07-30,136.84,138.67,136.11,138.37,194302.0
2020-07-31,137.8,138.02,134.58,137.02,238527.0
2020-08-03,137.6,139.46,137.16,139.34,164183.0
2020-08-04,139.06,140.34,138.63,140.27,178485.0
2020-08-05,141.65,143.12,141.19,143.01,218138.0
2020-08-06,142.89,143.59,142.23,142.97,449959.0
2020-08-07,142.66,145.31,142.51,145.27,273361.0
2020-08-10,145.69,147.69,145.69,146.76,360069.0
2020-08-11,148.16,148.62,145.24,145.87,474679.0
2020-08-12,147.54,147.75,145.56,146.55,260769.0
2020-08-13,146.0,147.37,145.72,146.22,233109.0
2020-08-14,145.33,146.71,144.98,146.1,278265.0
2020-08-17,146.49,146.97,145.79,146.88,142296.0
2020-08-18,146.75,146.76,144.83,145.4,315021.0
2020-08-19,145.87,146.93,145.28,145.57,185957.0
2020-08-20,143.95,145.53,143.73,144.83,171983.0
2020-08-21,144.27,144.75,142.86,143.77,269072.0
2020-08-24,144.91,145.32,143.57,145.31,291823.0
2020-08-25,145.83,145.83,143.97,145.49,217141.0
2020-08-26,145.37,145.78,144.37,144.53,197206.0
2020-08-27,145.22,145.98,143.83,144.91,237397.0
2020-08-28,145.61,146.19,144.89,146.15,190571.0
2020-08-31,146.19,146.32,144.5,144.55,189116.0
2020-09-01,144.33,146.29,143.79,146.23,251814.0
2020-09-02,146.82,147.85,145.27,147.37,222091.0
2020-09-03,147.06,147.13,142.27,143.06,409230.0
2020-09-04,144.61,144.93,138.87,142.17,297133.0
2020-09-08,140.18,141.79,138.57,139.38,486493.0
2020-09-09,140.83,142.08,140.11,141.5,255365.0
2020-09-10,142.29,143.11,139.63,139.66,319317.0
2020-09-11,140.3,140.42,137.4,138.71,381447.0
2020-09-14,140.17,142.66,139.85,142.35,371338.0
2020-09-15,143.57,143.87,142.16,142.65,612110.0
2020-09-16,143.41,145.86,143.11,143.98,291613.0
2020-09-17,141.94,143.59,141.13,142.98,429435.0
2020-09-18,143.22,144.4,140.69,142.54,298189.0
2020-09-21,139.24,139.66,136.13,137.63,809358.0
2020-09-22,138.17,138.84,136.32,138.7,305688.0
2020-09-23,138.63,139.5,134.42,134.46,239827.0
2020-09-24,134.36,136.78,132.68,134.48,301923.0
2020-09-25,133.87,137.07,133.87,136.69,221863.0
2020-09-28,138.6,140.44,138.44,140.11,303221.0
2020-09-29,139.81,140.27,138.25,139.43,205181.0
2020-09-30,140.0,141.86,138.64,139.77,335266.0
2020-10-01,140.77,142.09,139.59,142.04,239558.0
2020-10-02,139.36,143.36,139.18,142.73,364013.0
2020-10-05,144.24,146.84,144.24,146.63,307740.0
2020-10-06,147.96,150.31,145.97,146.2,661228.0
